1024,4,1,0.0320,0.3236,0.3092
1024,4,2,0.0168,0.3205,0.3062
1024,4,4,0.0092,0.3198,0.3055
1024,4,8,0.0054,0.3196,0.3053
1024,4,16,0.0035,0.3106,0.2963
1024,4,32,0.0025,0.3083,0.2940
1024,4,64,0.0021,0.3078,0.2935
1024,4,128, confi,nfigur,nfigur
1024,4,256, confi,nfigur,nfigur
4096,1,1,0.1114,0.3437,0.3180
4096,1,2,0.0651,0.3088,0.2831
4096,1,4,0.0419,0.3001,0.2743
4096,1,8,0.0303,0.2979,0.2722
4096,1,16,0.0245,0.2973,0.2716
4096,1,32,0.0216,0.2972,0.2715
4096,1,64,0.0202,0.2900,0.2643
4096,1,128,0.0195,0.2882,0.2625
4096,1,256,0.0191,0.2877,0.2620
4096,2,1,0.1041,0.3369,0.3180
4096,2,2,0.0578,0.3020,0.2831
4096,2,4,0.0346,0.2932,0.2743
4096,2,8,0.0230,0.2910,0.2722
4096,2,16,0.0172,0.2905,0.2716
4096,2,32,0.0143,0.2904,0.2715
4096,2,64,0.0129,0.2831,0.2643
4096,2,128,0.0122,0.2813,0.2625
4096,2,256,0.0118,0.2809,0.2620
4096,4,1,0.1282,0.3863,0.3696
4096,4,2,0.0673,0.3380,0.3213
4096,4,4,0.0369,0.3259,0.3092
4096,4,8,0.0217,0.3229,0.3062
4096,4,16,0.0141,0.3222,0.3055
4096,4,32,0.0103,0.3220,0.3053
4096,4,64,0.0084,0.3130,0.2963
4096,4,128,0.0074,0.3107,0.2940
4096,4,256,0.0070,0.3102,0.2935
4096,8,1,0.1117,0.3049,0.2845
4096,8,2,0.0847,0.4152,0.3947
4096,8,4,0.0449,0.3948,0.3743
4096,8,8,0.0249,0.3897,0.3692
4096,8,16,0.0149,0.3884,0.3679
4096,8,32,0.0100,0.3881,0.3676
4096,8,64,0.0075,0.3789,0.3585
4096,8,128, confi,nfigur,nfigur
4096,8,256, confi,nfigur,nfigur
4096,16,1,0.1623,0.7209,0.6958
4096,16,2,0.0831,0.6407,0.6156
4096,16,4,0.0435,0.6206,0.5955
4096,16,8,0.0237,0.6156,0.5905
4096,16,16,0.0138,0.6144,0.5892
4096,16,32, confi,nfigur,nfigur
4096,16,64, confi,nfigur,nfigur
4096,16,128, confi,nfigur,nfigur
4096,16,256, confi,nfigur,nfigur
4096,32,1,0.1167,0.7069,0.6734
4096,32,2,0.0822,1.1529,1.1193
4096,32,4,0.0430,1.0747,1.0411
4096,32,8, confi,nfigur,nfigur
4096,32,16, confi,nfigur,nfigur
4096,32,32, confi,nfigur,nfigur
4096,32,64, confi,nfigur,nfigur
4096,32,128, confi,nfigur,nfigur
4096,32,256, confi,nfigur,nfigur
