0, 4096, 512, 1, 8, 2562620, 2709531, 2709019, 0.513933, 0, 0, 8192, 512, 1, 16, 2355402, 353617, 353105, 0.130533, 0
0, 4096, 512, 2, 4, 2598200, 2673904, 2672880, 0.50718, 0, 0, 8192, 512, 2, 8, 2197562, 475318, 474294, 0.17783, 0
0, 4096, 512, 4, 2, 2416597, 2855550, 2853502, 0.541629, 0, 0, 8192, 512, 4, 4, 2347246, 506256, 504208, 0.177416, 0
0, 4096, 512, 8, 1, 2631117, 2641026, 2636930, 0.50094, 0, 0, 8192, 512, 8, 2, 2100355, 536575, 532479, 0.203485, 0
0, 4096, 256, 1, 16, 2610862, 2661242, 2660986, 0.504778, 0, 0, 8192, 256, 1, 32, 2421783, 239203, 238947, 0.0898926, 0
0, 4096, 256, 2, 8, 2724276, 2547817, 2547305, 0.483265, 0, 0, 8192, 256, 2, 16, 2197015, 350290, 349778, 0.137514, 0
0, 4096, 256, 4, 4, 2647638, 2624509, 2623485, 0.497806, 0, 0, 8192, 256, 4, 8, 2147926, 475559, 474535, 0.18127, 0
0, 4096, 256, 8, 2, 2585333, 2686764, 2684716, 0.50962, 0, 0, 8192, 256, 8, 4, 2177379, 507337, 505289, 0.188972, 0
0, 4096, 256, 16, 1, 2654467, 2619889, 2615793, 0.496722, 0, 0, 8192, 256, 16, 2, 2074726, 541067, 536971, 0.206846, 0
0, 4096, 128, 1, 32, 2611748, 2660360, 2660232, 0.50461, 0, 0, 8192, 128, 1, 64, 2478834, 181398, 181270, 0.0681888, 0
0, 4096, 128, 2, 16, 2701771, 2570322, 2570066, 0.487534, 0, 0, 8192, 128, 2, 32, 2332951, 237115, 236859, 0.0922603, 0
0, 4096, 128, 4, 8, 2681466, 2590638, 2590126, 0.491386, 0, 0, 8192, 128, 4, 16, 2239666, 350460, 349948, 0.135306, 0
0, 4096, 128, 8, 4, 2699351, 2572753, 2571729, 0.487994, 0, 0, 8192, 128, 8, 8, 2095599, 476130, 475106, 0.18514, 0
0, 4096, 128, 16, 2, 2535717, 2738716, 2736668, 0.519244, 0, 0, 8192, 128, 16, 4, 2226501, 510167, 508119, 0.186419, 0
0, 4096, 128, 32, 1, 2743588, 2528520, 2524424, 0.479603, 0, 0, 8192, 128, 32, 2, 1984445, 539979, 535883, 0.213902, 0
0, 4096, 64, 1, 64, 2745844, 2526303, 2526239, 0.479179, 0, 0, 8192, 64, 1, 128, 2351271, 174968, 174904, 0.0692603, 0
0, 4096, 64, 2, 32, 2789293, 2482804, 2482676, 0.470933, 0, 0, 8192, 64, 2, 64, 2302553, 180123, 179995, 0.072552, 0
0, 4096, 64, 4, 16, 2718055, 2554059, 2553803, 0.484447, 0, 0, 8192, 64, 4, 32, 2317071, 236732, 236476, 0.0926978, 0
0, 4096, 64, 8, 8, 2649007, 2623165, 2622653, 0.497549, 0, 0, 8192, 64, 8, 16, 2272168, 350485, 349973, 0.133638, 0
0, 4096, 64, 16, 4, 2594073, 2678024, 2677000, 0.507962, 0, 0, 8192, 64, 16, 8, 2200767, 476233, 475209, 0.177898, 0
0, 4096, 64, 32, 2, 2528212, 2743896, 2741848, 0.520455, 0, 0, 8192, 64, 32, 4, 2233602, 508246, 506198, 0.185366, 0
0, 4096, 64, 64, 1, 2640707, 2631429, 2627333, 0.49912, 0, 0, 8192, 64, 64, 2, 2087551, 539782, 535686, 0.205449, 0
0, 4096, 32, 1, 128, 2732967, 2539130, 2539098, 0.481617, 0, 0, 8192, 32, 1, 256, 2311813, 227285, 227253, 0.0895141, 0
0, 4096, 32, 2, 64, 2706505, 2565603, 2565539, 0.486637, 0, 0, 8192, 32, 2, 128, 2390784, 174755, 174691, 0.0681163, 0
0, 4096, 32, 4, 32, 2716625, 2555483, 2555355, 0.484717, 0, 0, 8192, 32, 4, 64, 2375314, 180041, 179913, 0.0704564, 0
0, 4096, 32, 8, 16, 2579821, 2692322, 2692066, 0.510669, 0, 0, 8192, 32, 8, 32, 2455200, 236866, 236610, 0.0879867, 0
0, 4096, 32, 16, 8, 2677687, 2594421, 2593909, 0.492103, 0, 0, 8192, 32, 16, 16, 2243108, 350801, 350289, 0.13524, 0
0, 4096, 32, 32, 4, 2600880, 2671228, 2670204, 0.506672, 0, 0, 8192, 32, 32, 8, 2194164, 476040, 475016, 0.178279, 0
0, 4096, 32, 64, 2, 2605528, 2666584, 2664536, 0.50579, 0, 0, 8192, 32, 64, 4, 2156986, 507550, 505502, 0.190483, 0
0, 4096, 32, 128, 1, 2609383, 2662710, 2658614, 0.505057, 0, 0, 8192, 32, 128, 2, 2118739, 539875, 535779, 0.203066, 0
0, 4096, 16, 1, 256, 2849715, 2422393, 2422377, 0.459473, 0, 0, 8192, 16, 1, 512, 2119847, 302530, 302514, 0.12489, 0
0, 4096, 16, 2, 128, 2878643, 2393465, 2393433, 0.453986, 0, 0, 8192, 16, 2, 256, 2166164, 227269, 227237, 0.0949552, 0
0, 4096, 16, 4, 64, 2819060, 2453033, 2452969, 0.465286, 0, 0, 8192, 16, 4, 128, 2277266, 175703, 175639, 0.0716287, 0
0, 4096, 16, 8, 32, 2690782, 2581365, 2581237, 0.489623, 0, 0, 8192, 16, 8, 64, 2400604, 180633, 180505, 0.0699792, 0
0, 4096, 16, 16, 16, 2600306, 2671802, 2671546, 0.506781, 0, 0, 8192, 16, 16, 32, 2434404, 237142, 236886, 0.0887658, 0
